anchor_components,boundary_f1,boundary_iou,bridge_risk,component_delta,component_error,dice,false_bridge,fn_pixels,fp_pixels,gt_components,image,iou,missing_anchor,precision,recall,risk_pixels,sep_fp_pixels,sep_fp_rate,sep_pixels,split
28,0.3631018008085263,0.22182308037718904,0,1,1,0.9164516103259003,0,6038,4419,27,13436.png,0.8457874323467386,0,0.9284615758203688,0.9047483830257138,8891,4143,0.2099422316813621,19734,val
24,0.4851149159339812,0.320232155584971,0,1,1,0.9162424157891066,0,2596,1007,23,13441.png,0.8454311454311454,0,0.9513855363522256,0.8836031027216069,3498,956,0.08654716639507513,11046,val
25,0.44652070840886904,0.2874326750448833,0,0,0,0.9069467331096508,0,2873,1814,25,13454.png,0.8297369950595757,0,0.9264246603123099,0.8882709807886754,4381,1752,0.1469428835024742,11923,val
26,0.456278079924332,0.2955701243796336,0,0,0,0.9247154768425537,0,4959,2463,26,13480.png,0.8599728322390763,0,0.9487355604121136,0.9018816406481867,6520,2402,0.1386595855221382,17323,val
24,0.26297229219143575,0.1513921113689095,1,-5,5,0.7886899151743638,1,919,4686,29,13517.png,0.6511048863990041,0,0.6906113825432457,0.9192371913173389,4580,3686,0.4494025847354304,8202,val
30,0.2647373180958645,0.1525632521557851,0,1,1,0.873584856780166,0,5306,9333,29,13840.png,0.7755443115608709,0,0.8442267249724605,0.9050584214575841,11211,7221,0.37250451379932936,19385,val
25,0.27669350802966197,0.1605596620908131,1,-7,7,0.8648620047409414,1,5495,7275,32,13867.png,0.7619003225626014,0,0.8488719930200673,0.8814659821390052,9685,5638,0.3215833903718914,17532,val
25,0.22177136168552478,0.12471476215552045,0,7,7,0.8097185683019035,0,6237,2370,18,1399.png,0.6802748885586924,0,0.8854131412270947,0.7459470468431771,5623,1016,0.0958129007921539,10604,val
23,0.4545976069496804,0.29416131940393486,1,-1,1,0.9403342687778893,1,2571,5572,24,14041.png,0.8873876365647905,0,0.9201020949540429,0.9614762204441248,7554,5108,0.2668477693031031,19142,val
15,0.16310257339615802,0.08879242304656669,1,-1,1,0.6380715782936107,1,8471,853,16,1418.png,0.4685059567918828,0,0.9059744268077602,0.49245056920311564,4732,614,0.07628276804571997,8049,val
32,0.2926949806949807,0.17143684191482433,0,11,11,0.921664816297023,0,7149,11055,21,1452.png,0.8547108823177302,0,0.9064293331979076,0.9374212184873949,14270,8946,0.36506835339726584,24505,val
25,0.4406073474620408,0.28255061144794985,1,-2,2,0.9396147686702027,1,3149,5071,27,15040.png,0.88610699291979,0,0.9265328001854427,0.953071443474114,7831,4923,0.2500761962816215,19686,val
27,0.44864,0.2891914191419142,0,0,0,0.937545553578846,0,2791,5178,27,15067.png,0.8824336485549474,0,0.9203286558345642,0.9554188962542928,7591,4907,0.24802871006874241,19784,val
4,0.31607629427792916,0.18770226537216828,0,2,2,0.8303954969634129,0,180,965,2,1518.png,0.7099797365754813,0,0.743895966029724,0.9396580623533356,507,327,0.2868421052631579,1140,val
22,0.35948827292110874,0.21913179100597868,0,2,2,0.803672544895648,0,2555,2299,20,1522.png,0.6717830820204206,0,0.8120810854994278,0.7954363490792634,3181,997,0.1273145192184906,7831,val
27,0.38818398096748613,0.24083640836408365,1,-1,1,0.9112713156800222,1,6665,1015,28,15274.png,0.8370049662549344,0,0.974909153832843,0.8554324013621674,6935,988,0.0589885963341095,16749,val
29,0.4933157597439277,0.32741814546363407,0,1,1,0.9313014460511679,0,3495,2681,28,15369.png,0.8714351138681877,0,0.9398109691758525,0.922944639195714,5830,2577,0.14914920708415325,17278,val
25,0.35788797945755096,0.2179437060203284,1,-1,1,0.9018459986963634,1,6708,1273,26,15446.png,0.8212381848317878,0,0.966445252780853,0.8453415719456805,6929,1261,0.08024691358024691,15714,val
29,0.25058339052848316,0.14323825964141396,1,-4,4,0.8760854599693233,1,5708,14812,33,1560.png,0.779494729150324,0,0.8304312486405422,0.9270515163520646,13722,9700,0.4294695829274772,22586,val
29,0.22975102426725497,0.12978458251735803,0,2,2,0.8976236455315953,0,9827,13075,27,1572.png,0.8142624267049463,0,0.8847773978638654,0.9108484232681351,15518,9180,0.3715696591920991,24706,val
25,0.1962603992202301,0.10880750144609858,0,0,0,0.8883331926507414,0,11817,19933,25,1585.png,0.7991002220970773,0,0.8636798840119818,0.9144352888361114,19651,12590,0.43272039869393364,29095,val
21,0.5301007899754835,0.36063750926612304,0,0,0,0.9199832191301915,0,639,2222,21,1590.png,0.851823078516677,0,0.8809791633188708,0.9626009598501697,2785,2159,0.2396758436944938,9008,val
27,0.4165490993799009,0.2630641084082715,0,1,1,0.9322967245782929,0,5520,6541,26,1620.png,0.8731796052700757,0,0.926983914358751,0.9376707843092974,10215,5960,0.2476214217458141,24069,val
24,0.2388905457798986,0.13564775613886537,1,-1,1,0.9149379681143169,1,13147,16438,25,1660.png,0.843212591748589,0,0.9063617927860187,0.923677992766622,19991,10119,0.30834628393820274,32817,val
25,0.23363598206198777,0.1322694414567648,0,0,0,0.9256587547148221,0,17014,16768,25,1666.png,0.8616058992216304,0,0.9261601331654087,0.9251579188147732,22699,12285,0.34774116847826086,35328,val
