anchor_components,boundary_f1,boundary_iou,bridge_risk,component_delta,component_error,dice,false_bridge,fn_pixels,fp_pixels,gt_components,image,iou,missing_anchor,precision,recall,risk_pixels,sep_fp_pixels,sep_fp_rate,sep_pixels,split
21,0.4667143879742305,0.30438842203548083,0,5,5,0.870907759057869,0,980,1311,16,2307.png,0.7713344645174169,0,0.8549618320610687,0.887459807073955,1984,1046,0.1326569435637286,7885,train
18,0.5449746192893401,0.3745464694390176,0,4,4,0.880097725991355,0,547,729,14,2322.png,0.7858701124349723,0,0.86529933481153,0.8954110898661568,1104,564,0.0975609756097561,5781,train
22,0.3381663673397871,0.20348990458115873,0,3,3,0.924319325714205,0,3558,7163,19,2330.png,0.8592878423960836,0,0.9013809150110831,0.9484556991365822,9559,6780,0.30772023782508057,22033,train
26,0.4142754662840746,0.2612531101560733,0,7,7,0.9231085974494677,0,3691,2658,19,2344.png,0.8571974808816915,0,0.9348034045475729,0.911702789340223,5623,2545,0.1553249923710711,16385,train
29,0.4288954807188972,0.27298978231896937,0,2,2,0.858276062502137,0,1401,2744,27,2353.png,0.7517369429803545,0,0.8205949656750572,0.8995842889908257,3891,2624,0.20164450933681702,13013,train
28,0.4133020225740474,0.2604793277952831,0,0,0,0.8797123832189787,0,1513,3238,28,2385.png,0.7852558307720123,0,0.842899422638397,0.9198877475378587,4414,3009,0.20962797826389856,14354,train
23,0.3276122983796553,0.1958949459280512,1,-2,2,0.9065687019441908,1,6215,7188,25,2393.png,0.829104401489264,0,0.9004611358065723,0.9127596855699045,11051,6515,0.2317598093273096,28111,train
25,0.3488826379121738,0.21130093227958924,0,3,3,0.9138393157788404,0,6756,6038,22,2409.png,0.8413481808486892,0,0.9182795116801559,0.9094418529837542,10079,5430,0.21601623105382503,25137,train
19,0.342795847220626,0.20685191178510334,1,-2,2,0.9116754253794421,1,4681,7336,21,2410.png,0.8376870711545734,0,0.8942253622665994,0.9298200899550225,10586,7072,0.2744915385809657,25764,train
21,0.34027653079547493,0.20502001514659743,1,-2,2,0.9107306118463683,1,4391,5666,23,2452.png,0.8360930929952084,0,0.9005389084908807,0.921155641743877,9048,5523,0.24188674287215872,22833,train
23,0.509090909090909,0.34146341463414637,1,-3,3,0.9077804690730785,1,2186,936,26,2462.png,0.831133708351363,0,0.9425837320574163,0.8754557885141294,3017,936,0.07057759010707285,13262,train
43,0.20517919674895163,0.1143173716157626,0,24,24,0.9321873700822141,0,27639,12324,19,2484.png,0.8729877732893888,0,0.9570592334494773,0.9085754924499281,24426,11180,0.24025960071347216,46533,train
24,0.318673647469459,0.1895370562590824,0,5,5,0.8970005462004207,0,11373,6353,19,2500.png,0.8132375252865812,0,0.9239516872359018,0.8715771406632866,12648,6029,0.21273817925194072,28340,train
24,0.3198524092027203,0.1903716143478448,1,-2,2,0.9053987548906223,1,6831,8547,26,2507.png,0.8271493924713658,0,0.8959408785429045,0.91505844317334,11944,6754,0.24894950239587174,27130,train
28,0.364848831976435,0.2231285028022418,0,1,1,0.9135378535099938,0,2980,7696,27,2509.png,0.840837259228338,0,0.8799301048427359,0.9498147524418996,9569,7509,0.30160260272321965,24897,train
20,0.40686494743463025,0.2553863508178229,1,-3,3,0.9056525165065075,1,2179,8238,23,2516.png,0.8275730790876287,0,0.8585386794882802,0.95823750383318,8731,6741,0.29703886489821096,22694,train
26,0.3697265024803547,0.22678802240413615,0,2,2,0.9141847730083024,0,3287,6429,24,2573.png,0.8419340144465413,0,0.8895000085938709,0.9402787114591471,8774,6245,0.2771490702525185,22533,train
