image,priority_score,failure_type,r110_dice,araa_dice,nnunet_dice,r110_recall,araa_recall,r110_boundary_iou,araa_boundary_iou,r110_gap_fp,araa_gap_fp,nnunet_gap_fp,r110_component_merge,araa_component_merge,nnunet_component_merge,r110_component_mae,araa_component_mae,nnunet_component_mae,component_deficit,merge_deficit,gap_excess,recall_buffer_vs_araa,dice_buffer_vs_araa,boundary_buffer_vs_araa
11099.png,0.023960842884475687,mixed_or_low_priority,0.9173260084196698,0.8815498866045092,0.926275544227264,0.9242246487982433,0.8945041061276058,0.29549297845746636,0.21737915618887957,0.15403898296413773,0.22289865452499105,0.15183915690387273,1.0,1.0,1.0,1.0,2.0,1.0,0.0,0.0,0.0021998260602650033,0.029720542670637506,0.035776121815160655,0.07811382226858679
15475.png,0.02064913472433688,mixed_or_low_priority,0.9302520957245393,0.9289467391770844,0.9365345244742229,0.9321076517665431,0.9242265274253367,0.21099575271354412,0.21854367100547067,0.20252461686532908,0.1889760864736803,0.22825201747242171,1.0,1.0,1.0,2.0,2.0,2.0,0.0,0.0,0.013548530391648772,0.007881124341206358,0.0013053565474548945,-0.007547918291926553
1858.png,0.019364212619282884,mixed_or_low_priority,0.9246146709495593,0.9085822204551302,0.9247546920533963,0.9463462411313633,0.9280296696208882,0.15118517627241007,0.13775750441436138,0.3621712026759921,0.3532765698646799,0.35935837007754295,1.0,1.0,1.0,1.0,4.0,3.0,0.0,0.0,0.008894632811312198,0.018316571510475166,0.01603245049442914,0.01342767185804869
1873.png,0.018610139804541286,mixed_or_low_priority,0.9229675687884464,0.9101145177207728,0.9258728452565786,0.9434236436477219,0.9330481428668432,0.21103851601407228,0.17925991579880346,0.24375526241930956,0.27866264383946115,0.23666853774908786,1.0,1.0,1.0,2.0,2.0,2.0,0.0,0.0,0.0070867246702217,0.010375500780878677,0.012853051067673649,0.03177860021526882
14724.png,0.014407275324557309,mixed_or_low_priority,0.9409723623159169,0.9266628463291443,0.9415914705843496,0.9639845687517222,0.9580325158445853,0.3811825957605058,0.30898328690807797,0.15090828967340744,0.19419282181853792,0.18439994124271655,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.005952052907136962,0.014309515986772547,0.07219930885242781
12046.png,0.012150669558694954,mixed_or_low_priority,0.9370783683248219,0.9250484091875127,0.9418584877950748,0.9308573933738336,0.9200225465021608,0.375871224692997,0.3149166928638793,0.09566196578905035,0.1174325701109979,0.12279478792428548,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.010834846871672799,0.012029959137309199,0.0609545318291177
7397.png,0.011233735465289524,recall_risk_do_not_cut_aggressively,0.9053746708163753,0.8859639854492762,0.9006063646154527,0.8908453814669768,0.8641677217985336,0.25963248369887376,0.21709205620877545,0.13491273127522407,0.15142303055715708,0.16966298024005452,1.0,1.0,1.0,4.0,4.0,4.0,0.0,0.0,0.0,0.026677659668443154,0.019410685367099112,0.042540427490098315
9072.png,0.009527558040572887,mixed_or_low_priority,0.9329230491777409,0.9212703916778312,0.937617354039188,0.9278715723862694,0.9173561130916347,0.30710913081066704,0.2630131730400307,0.12402254955446444,0.14793598836152028,0.15871067466812147,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.01051545929463471,0.011652657499909735,0.04409595777063635
1964.png,0.008419690824992842,mixed_or_low_priority,0.944759143951607,0.9322331313975349,0.9399509803921569,0.9470422535211268,0.9262624166048925,0.21931971124434113,0.18406512666784225,0.21606628242074927,0.22521613832853027,0.2905859750240154,1.0,1.0,1.0,2.0,2.0,2.0,0.0,0.0,0.0,0.020779836916234307,0.012526012554072041,0.03525458457649888
3591.png,0.008383983525387054,recall_risk_do_not_cut_aggressively,0.9168307012666977,0.9038467322325483,0.9216417910447762,0.8770447031766566,0.8639356044271956,0.27113977817981594,0.23688650306748466,0.0683043738765728,0.08867585380467345,0.0885124462116673,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.013109098749460979,0.012983969034149445,0.03425327511233128
12133.png,0.008264620022971667,mixed_or_low_priority,0.9381484056548471,0.930854170345118,0.9430068564193057,0.9354066985645934,0.9316006959547629,0.36230446394505916,0.31936405597479667,0.10921311972507201,0.1299843331480265,0.12381866882296458,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.003806002609830439,0.007294235309729169,0.042940407970262495
14018.png,0.008130535796875143,mixed_or_low_priority,0.9357344456377851,0.928720756595321,0.9394735561718484,0.9503323017604384,0.9465780528638831,0.41257741781800855,0.37006332757628096,0.11833704528582034,0.1344469190794358,0.1548626577579807,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.00375424889655529,0.007013689042464022,0.04251409024172759
14235.png,0.007850771877644356,mixed_or_low_priority,0.9403319484022536,0.932322405548615,0.9310512414157422,0.9558218723742979,0.9570600981736169,0.42367969085444396,0.3805630304284827,0.11595744680851064,0.14434840425531914,0.17759308510638297,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0012382257993189816,0.00800954285363864,0.04311666042596124
