accepted,action_frac,candidate_boundary_f1,candidate_boundary_iou,candidate_component_count_mae,candidate_component_delta_mean,candidate_dice,candidate_family,candidate_gap_region_fp_rate,candidate_iou,candidate_precision,candidate_recall,corridor_radius,cut_area,cut_gt_fg_frac,cut_gt_gap_frac,delta_boundary_f1,delta_boundary_iou,delta_component_count_mae,delta_component_delta_mean,delta_dice,delta_gap_region_fp_rate,delta_iou,delta_precision,delta_recall,dilate_radius,hard_risk,image,overerosion_proxy,pred_component_id,quick_useful,reject_reason,ridge_area,ridge_score,ridge_slenderness,safe_gap_positive,seam_prob_mean,seam_prob_p90
0.0,0.25,0.40633245382585753,0.25496688741721857,1.0,1.0,0.8740139102833403,corridor,0.19548317046688382,0.7762208772075284,0.856745428921793,0.8919928350928008,1.0,34.0,0.7058823529411765,0.29411764705882354,-0.001301984736416073,-0.001026113457672062,0.0,0.0,-0.00017063646931259058,-0.000304017372421278,-0.0002692164673451236,9.382203697283487e-05,-0.00045733450207707804,,1.0,11852.png,1.0,19.0,0.0,low_mean_prob,,,,0.0,0.04209246410278312,0.11989889071173448
0.0,0.5,0.40616492086198147,0.2548349739432542,1.0,1.0,0.8739155203167754,corridor,0.19483170466883823,0.776065682534417,0.8569256973315507,0.8915926674034834,1.0,70.0,0.6428571428571429,0.35714285714285715,-0.0014695177002921334,-0.0011580269316364133,0.0,0.0,-0.0002690264358774508,-0.0009554831704668698,-0.0004244111404565487,0.00027409044673054606,-0.0008575021913944658,,1.0,11852.png,1.0,19.0,0.0,low_mean_prob,,,,0.0,0.18982172074308074,0.9994738287420584
0.0,0.35,0.40601156069364164,0.25471424427038003,1.0,1.0,0.8739787677052502,corridor,0.19522258414766558,0.776165442212972,0.8568185562858137,0.8918403902587752,1.0,48.0,0.6666666666666666,0.3333333333333333,-0.0016228778686319667,-0.0012787566045106002,0.0,0.0,-0.00020577904740270991,-0.0005646036916395203,-0.00032465146190152616,0.000166949400993599,-0.0006097793361027337,,1.0,11852.png,1.0,19.0,0.0,low_mean_prob,,,,0.0,0.05094159129575824,0.13841711168462154
0.0,0.25,0.40552654683240147,0.25433257984118707,2.0,2.0,0.873806899901003,corridor,0.1951357220412595,0.7758943824324549,0.8568576452487362,0.8914402225694577,2.0,75.0,0.7066666666666667,0.29333333333333333,-0.0021078917298721356,-0.001660421033703563,1.0,1.0,-0.000377646851649871,-0.0006514657980455918,-0.0005957112424186395,0.00020603836391608343,-0.0010099470254202325,,1.0,11852.png,1.0,19.0,0.0,low_mean_prob,,,,0.0,0.04901975766073502,0.14540744719127652
0.0,0.35,0.4054402950668511,0.25426473139420575,3.0,3.0,0.873667591528638,corridor,0.1947014115092291,0.7756747341704958,0.8569595894804362,0.8910400548801403,2.0,106.0,0.6981132075471698,0.3018867924528302,-0.002194143495422518,-0.0017282694806848853,2.0,2.0,-0.0005169552240148478,-0.0010857763300760048,-0.0008153595043777218,0.0003079825956160409,-0.0014101147147376203,,1.0,11852.png,1.0,19.0,0.0,low_mean_prob,,,,0.0,0.08755943264809593,0.19712366055547986
0.0,0.5,0.4050179211469534,0.2539325842696629,3.0,3.0,0.8733644859813084,corridor,0.19435396308360478,0.7751970136872667,0.8569935072080995,0.8903731087312778,2.0,149.0,0.7315436241610739,0.2684563758389262,-0.0026165174153202075,-0.0020604166052277106,2.0,2.0,-0.0008200607713444441,-0.0014332247557003186,-0.00129307998760686,0.00034190032327940933,-0.0020770608636000443,,1.0,11852.png,1.0,19.0,0.0,low_mean_prob,,,,0.0,0.3066029172661898,0.9994889796988218
0.0,0.2,0.45834907442387607,0.29731054340501134,1.0,-1.0,0.9248566644680095,prob_ridge,0.10442439862542956,0.860217083529967,0.9492958920089992,0.90164420965157,,41.0,0.2926829268292683,0.7073170731707317,0.0020709944995440654,0.0017404190253777485,0.0,0.0,0.00014118762545578534,-0.0012457044673539475,0.00024425129089067354,0.0005603315968856215,-0.000237430996616661,0.0,0.0,13480.png,0.0,21.0,1.0,recall_drop,41.0,1.0203138971328736,2.0,0.0,0.9635692494851413,0.9874607990188655
0.0,0.2,0.45760151085930123,0.2966817680910983,1.0,-1.0,0.9247554094101409,prob_ridge,0.1043384879725086,0.8600419081418836,0.9493238315517493,0.9014265645713381,,54.0,0.42592592592592593,0.5740740740740741,0.0013234309349692275,0.001111643711464716,0.0,0.0,3.9932567587164236e-05,-0.0013316151202749094,6.907590280735842e-05,0.0005882711396356655,-0.00045507607684858176,0.0,0.0,13480.png,0.0,21.0,1.0,recall_drop,54.0,1.008806176715427,1.4444444444444444,0.0,0.9320546323181156,0.9869289324259385
0.0,0.2,0.4566192792707694,0.29585653956790503,1.0,-1.0,0.9247909732932867,prob_ridge,0.10472508591065292,0.8601034313540448,0.9491574847430797,0.90164420965157,,34.0,0.35294117647058826,0.6470588235294118,0.000341199346437393,0.0002864151882714383,0.0,0.0,7.54964507330147e-05,-0.0009450171821305808,0.0001305991149684882,0.0004219243309661058,-0.000237430996616661,0.0,0.0,13480.png,0.0,21.0,1.0,recall_drop,34.0,1.0104259807722908,1.5714285714285714,0.0,0.9598387132373724,0.9836265045270239
0.0,0.25,0.45657826313052524,0.29582210242587603,1.0,-1.0,0.9247124221460307,corridor,0.10558419243986254,0.8599675483944003,0.9487729231281614,0.9018420688154172,1.0,4.0,0.5,0.5,0.00030018320619323857,0.00025197804624244036,0.0,0.0,-3.0546965230637824e-06,-8.59106529209619e-05,-5.28384467601839e-06,3.736271604781738e-05,-3.957183276948051e-05,,0.0,13480.png,0.0,21.0,1.0,low_mean_prob,,,,0.0,0.012500305154890033,0.03155128889526977
