feature,group,n,mean,p10,p50,p90,min,max
component_fill,r245_best_selected,5,0.7904976088449742,0.7171209698261937,0.7813355227148331,0.8612896084389298,0.6846590909090909,0.8650887573964497
component_slenderness,all,3533,1.3316566307055486,1.069204152249135,1.2178217821782178,1.607843137254902,1.0,3.52
component_slenderness,safe_useful,464,1.3215415564189192,1.069204152249135,1.2009345794392523,1.5344827586206895,1.0,3.3870967741935485
component_slenderness,risk,3086,1.3344738702377987,1.069204152249135,1.2222222222222223,1.6094771241830066,1.0,3.52
component_slenderness,oracle_safe_best,36,1.489731659233405,1.0325783972125435,1.3028608429479633,2.4291819291819294,1.0,2.8947368421052637
component_slenderness,r245_best_selected,5,1.4083043900485093,1.1532166752444675,1.2692307692307692,1.7329411764705882,1.0862068965517242,1.8
cut_mean_image,all,3533,0.47741816020572014,0.3128453254699707,0.4438574910163879,0.6795294165611269,0.2063180804252624,0.8299019932746887
cut_mean_image,safe_useful,464,0.5093704160174419,0.3383600562810898,0.5095570087432861,0.7204411923885345,0.2563725709915161,0.813235342502594
cut_mean_image,risk,3086,0.4708032098997744,0.31041002273559565,0.4331127554178238,0.6677450835704803,0.2063180804252624,0.8299019932746887
cut_mean_image,oracle_safe_best,36,0.5529580066601435,0.35448122024536133,0.5765110850334167,0.7605637311935425,0.3011764585971832,0.8014706373214722
cut_mean_image,r245_best_selected,5,0.6576542019844055,0.563386869430542,0.6193899512290955,0.7764008522033692,0.5588235855102539,0.8023529052734375
cut_std_image,all,3533,0.020216195555991624,0.01002259347587822,0.0179154984652996,0.033194907009601586,0.003890810534358,0.3051991164684295
cut_std_image,safe_useful,464,0.019780303776095548,0.00882944995537393,0.01624310389161105,0.031171225570142184,0.003890810534358,0.3051991164684295
cut_std_image,risk,3086,0.020266174059904392,0.0101931914687156,0.018143456429243053,0.0335674304515123,0.0039215683937072,0.0920461043715477
cut_std_image,oracle_safe_best,36,0.023064504261128563,0.010564488824456899,0.02080381568521255,0.0378970112651586,0.0070526930503547,0.0463150963187217
cut_std_image,r245_best_selected,5,0.02017185296863314,0.01121272146701808,0.0235294103622436,0.027303633466362942,0.0098232682794332,0.0280987974256277
cut_mean_grad,all,3533,0.07277118557752517,0.03175009191036216,0.0735812336206436,0.10228774547576899,0.0098363291472196,0.2889485657215118
cut_mean_grad,safe_useful,464,0.0676722855102431,0.024499958194792202,0.06868221238255495,0.09820284321904178,0.0106291901320219,0.2889485657215118
cut_mean_grad,risk,3086,0.07359299930271267,0.0337327700108289,0.0742550529539585,0.10318198055028915,0.0098363291472196,0.1943727880716323
cut_mean_grad,oracle_safe_best,36,0.06586569516609109,0.0285725807771086,0.06373456120491025,0.0945470109581947,0.0106291901320219,0.1255206167697906
cut_mean_grad,r245_best_selected,5,0.06505597531795496,0.039089427888393355,0.0703043118119239,0.08508437424898142,0.0193000808358192,0.0916178002953529
cut_p90_grad,all,3533,0.09394823117906574,0.0424090772867202,0.0936396025121212,0.13589347660541534,0.011433239094913,0.7648684978485107
cut_p90_grad,safe_useful,464,0.08568888716259164,0.03339734733104701,0.0849178094416856,0.12582760892808434,0.0115326789207756,0.7648684978485107
cut_p90_grad,risk,3086,0.09521357379530805,0.0446191571652889,0.09520311877131454,0.1372889421880245,0.011433239094913,0.2955253392457962
cut_p90_grad,oracle_safe_best,36,0.083924569383574,0.03570106327533715,0.0858594965189695,0.128515550121665,0.0115326789207756,0.1613189354538917
cut_p90_grad,r245_best_selected,5,0.074474836140871,0.04667223647236816,0.0837710328400135,0.09439332902431484,0.0281407602131366,0.0999807715415954
