accepted,accepted_images,mean_delta_boundary_f1,mean_delta_boundary_iou,mean_delta_dice,mean_delta_gap_region_fp_rate,mean_delta_iou,mean_delta_recall,precision_useful,risk,risk_rate,risk_threshold,useful,useful_threshold
29,29,0.00025258051179868516,0.00014214939011213124,-8.374998578031639e-05,-0.0008993026410648069,-0.00014553936078037024,-0.00043864057468406635,0.3103448275862069,16,0.5517241379310345,0.4,9,0.15
36,36,0.00011866066314368308,3.0375704834789607e-05,-9.929651243033762e-05,-0.000843838703859841,-0.00017202475569035036,-0.00044175621206937125,0.3055555555555556,21,0.5833333333333334,0.45,11,0.15
44,44,-1.4698690441139726e-05,-4.979971346094183e-05,-0.00011651768717588722,-0.0007994767141681433,-0.00019634172625245476,-0.00048497729482906274,0.3181818181818182,26,0.5909090909090909,0.5,14,0.15
47,47,-6.0701395044424955e-05,-8.618410004920807e-05,-0.000120939389710716,-0.0007714432272269892,-0.00020455184571998303,-0.0004882056410055989,0.3191489361702128,28,0.5957446808510638,0.55,15,0.15
54,54,-6.0170712302733596e-05,-6.562770500232524e-05,-0.00013690071487454793,-0.0007424424064765477,-0.00023269267308504283,-0.00051197269444581,0.3333333333333333,32,0.5925925925925926,0.6,18,0.15
59,59,-6.96768575458758e-05,-8.015059974965071e-05,-0.0001330938973633337,-0.0007218237058574348,-0.00022744948711769656,-0.0004984885316048123,0.3389830508474576,35,0.5932203389830508,0.65,20,0.15
65,65,-0.00014624914633257427,-0.0001408917175285458,-0.0001292100665276237,-0.0006987378022395559,-0.00022319380860058151,-0.0004863822406507879,0.3230769230769231,40,0.6153846153846154,0.7,21,0.15
71,71,-0.00017859876737877562,-0.0001523340354373542,-0.0001206733924488441,-0.0006976673580760209,-0.00020728877796997983,-0.00047901961520210515,0.323943661971831,44,0.6197183098591549,0.75,23,0.15
74,74,-9.581926877514927e-05,-8.495391326627514e-05,-0.00010992912960344019,-0.0007313752587239463,-0.00018836167523165087,-0.00047084350166818456,0.32432432432432434,46,0.6216216216216216,0.8,24,0.15
1,1,-0.00013038512094937227,-0.00011208973469029049,0.00025320573528397894,-0.0005530973451327303,0.0004242936821069465,0.0,0.0,1,1.0,0.1,0,0.2
2,2,-0.0010307110563345379,-0.0007711633220832403,-0.0001577905591765294,-0.0003259484650872356,-0.0002637731945567823,-0.0005050731794917773,0.0,2,1.0,0.15,0,0.2
6,6,0.00032847205323342327,0.00019343590717788017,6.981748694488236e-05,-0.0008690256625565745,9.701032330448427e-05,-0.00030121260831613333,0.5,3,0.5,0.2,3,0.2
10,10,0.0003229732235632443,0.00018996747171854956,8.162964548630302e-06,-0.0008222168967709747,-1.0553751537134559e-07,-0.0003320608912634304,0.4,5,0.5,0.25,4,0.2
18,18,0.0005271562044719356,0.0003733080799974705,-2.641945203552604e-05,-0.0008065864325528411,-4.6386017442038664e-05,-0.00036374514187348383,0.3888888888888889,9,0.5,0.3,7,0.2
22,22,0.000318448582520257,0.00021657061378833696,-2.0359874723036526e-05,-0.0007914179346046198,-3.5454573401008915e-05,-0.000351096060337624,0.4090909090909091,11,0.5,0.35,9,0.2
28,28,0.0001668994998156275,8.925176895609871e-05,-8.117807715966279e-05,-0.0008387857732405615,-0.00014153577468643423,-0.00042883017683619163,0.32142857142857145,16,0.5714285714285714,0.4,9,0.2
35,35,4.6289572167094015e-05,-1.5135925955103316e-05,-9.768317200952963e-05,-0.0007938405256803029,-0.00016957861238405813,-0.0004339969120020802,0.3142857142857143,21,0.6,0.45,11,0.2
42,42,-4.686100427521037e-05,-6.833785338615605e-05,-0.00011227946039613476,-0.0007757904876965387,-0.00018973703504880315,-0.0004802744589703962,0.3333333333333333,25,0.5952380952380952,0.5,14,0.2
45,45,-9.276411927192579e-05,-0.00010510344782777539,-0.00011718023149560608,-0.0007480901497672181,-0.00019875236146179833,-0.0004839598095898006,0.3333333333333333,27,0.6,0.55,15,0.2
52,52,-8.789688970185196e-05,-8.120958692428223e-05,-0.00013426149431008095,-0.0007211175963382672,-0.0002287562281448853,-0.0005092125346990695,0.34615384615384615,31,0.5961538461538461,0.6,18,0.2
57,57,-9.530446307640983e-05,-9.487522517835975e-05,-0.00013055261483044402,-0.0007016460299200873,-0.0002236743729278214,-0.000495497362613365,0.3508771929824561,34,0.5964912280701754,0.65,20,0.2
63,63,-0.0001718668938375558,-0.00015614228713162843,-0.00012678751468562163,-0.0006797489238956739,-0.00021964312819015115,-0.00048329161819966816,0.3333333333333333,39,0.6190476190476191,0.7,21,0.2
67,67,-0.00020439792748155178,-0.00016846236638007225,-0.00012814295314406393,-0.0006849679273142586,-0.00021819924195113095,-0.0004859015225692458,0.3283582089552239,42,0.6268656716417911,0.75,22,0.2
70,70,-0.00011461585592684057,-9.562071004247128e-05,-0.00011688730275027608,-0.0007120847872577744,-0.00019847072214060663,-0.00047466730048476095,0.34285714285714286,43,0.6142857142857143,0.8,24,0.2
1,1,-0.00013038512094937227,-0.00011208973469029049,0.00025320573528397894,-0.0005530973451327303,0.0004242936821069465,0.0,0.0,1,1.0,0.1,0,0.25
2,2,-0.0010307110563345379,-0.0007711633220832403,-0.0001577905591765294,-0.0003259484650872356,-0.0002637731945567823,-0.0005050731794917773,0.0,2,1.0,0.15,0,0.25
6,6,0.00032847205323342327,0.00019343590717788017,6.981748694488236e-05,-0.0008690256625565745,9.701032330448427e-05,-0.00030121260831613333,0.5,3,0.5,0.2,3,0.25
10,10,0.0003229732235632443,0.00018996747171854956,8.162964548630302e-06,-0.0008222168967709747,-1.0553751537134559e-07,-0.0003320608912634304,0.4,5,0.5,0.25,4,0.25
18,18,0.0005271562044719356,0.0003733080799974705,-2.641945203552604e-05,-0.0008065864325528411,-4.6386017442038664e-05,-0.00036374514187348383,0.3888888888888889,9,0.5,0.3,7,0.25
