accepted,accepted_images,mean_delta_boundary_f1,mean_delta_boundary_iou,mean_delta_dice,mean_delta_gap_region_fp_rate,mean_delta_iou,mean_delta_recall,precision_useful,risk,risk_rate,risk_threshold,useful,useful_threshold
2,2,0.0022414780119281996,0.0016541625811884175,7.315229467869111e-05,-0.0015002787316432675,0.00011017980260846771,-0.0004181478664152527,0.5,1,0.5,0.25,1,0.55
3,3,-0.0007384128770846488,-0.0006119268334558633,-0.00030631168124021596,-5.026893882270622e-05,-0.000537869258386651,-0.0005939963963498643,0.0,3,1.0,0.3,0,0.55
6,6,-0.00048145877402721676,-0.0004341024766238317,-0.0002564762606291904,-0.00027848227976241813,-0.0004298587059386831,-0.0005554220715405419,0.16666666666666666,5,0.8333333333333334,0.35,1,0.55
7,7,-0.0005000233811822487,-0.00043684651722579855,-0.00029511839954364315,-0.00023869909693921554,-0.0004932415340744845,-0.0006045299052194039,0.14285714285714285,6,0.8571428571428571,0.4,1,0.55
8,8,-0.0005697334559812937,-0.00047575412698623414,-0.0002732881525288472,-0.0002579914122361887,-0.00045757385656781946,-0.0005703640287047368,0.125,7,0.875,0.45,1,0.55
8,8,-0.0005697334559812937,-0.00047575412698623414,-0.0002732881525288472,-0.0002579914122361887,-0.00045757385656781946,-0.0005703640287047368,0.125,7,0.875,0.5,1,0.55
8,8,-0.000504840348527668,-0.0004276439523369178,-0.00022485285585407966,-0.0003343757311230931,-0.00037729485783853656,-0.0005184884378993948,0.125,7,0.875,0.55,1,0.55
8,8,-0.000504840348527668,-0.0004276439523369178,-0.00022485285585407966,-0.0003343757311230931,-0.00037729485783853656,-0.0005184884378993948,0.125,7,0.875,0.6,1,0.55
8,8,-0.000504840348527668,-0.0004276439523369178,-0.00022485285585407966,-0.0003343757311230931,-0.00037729485783853656,-0.0005184884378993948,0.125,7,0.875,0.65,1,0.55
8,8,-0.000504840348527668,-0.0004276439523369178,-0.00022485285585407966,-0.0003343757311230931,-0.00037729485783853656,-0.0005184884378993948,0.125,7,0.875,0.7,1,0.55
8,8,-0.000504840348527668,-0.0004276439523369178,-0.00022485285585407966,-0.0003343757311230931,-0.00037729485783853656,-0.0005184884378993948,0.125,7,0.875,0.75,1,0.55
8,8,-0.000504840348527668,-0.0004276439523369178,-0.00022485285585407966,-0.0003343757311230931,-0.00037729485783853656,-0.0005184884378993948,0.125,7,0.875,0.8,1,0.55
0,0,,,,,,,0.0,0,0.0,0.1,0,0.6
0,0,,,,,,,0.0,0,0.0,0.15,0,0.6
1,1,-0.0006601411268010171,-0.0005427152268556723,-0.0003932029824582628,-0.00015080681646811867,-0.0006991308183337264,-0.0008047450150516777,0.0,1,1.0,0.2,0,0.6
1,1,-0.0006601411268010171,-0.0005427152268556723,-0.0003932029824582628,-0.00015080681646811867,-0.0006991308183337264,-0.0008047450150516777,0.0,1,1.0,0.25,0,0.6
3,3,-0.0007384128770846488,-0.0006119268334558633,-0.00030631168124021596,-5.026893882270622e-05,-0.000537869258386651,-0.0005939963963498643,0.0,3,1.0,0.3,0,0.6
5,5,-5.282925550582074e-05,-5.734733323594365e-05,-0.00022978711412307006,-0.00033417873571490173,-0.0003830136236621318,-0.0005238064828757327,0.2,4,0.8,0.35,1,0.6
6,6,-0.00014592621694025734,-0.00012334123783621967,-0.0002793178006076184,-0.00027848227976241813,-0.00046476777019999194,-0.00058636822027854,0.16666666666666666,5,0.8333333333333334,0.4,1,0.6
