rows,imgs,safe,risk,dice,iou,recall,biou,bf1,gap,fg,gtgap,min_comp_area,min_distp,max_rank,min_contacts,min_channel,max_mean_dist,max_area,passes
17,17,4,13,-1.190940658088808e-05,-1.860591832546099e-05,-0.00014160682996882992,9.66540562771521e-05,0.00011101529988037683,-0.00025754700865842376,0.5070961718020541,0.376937441643324,6000,6,8,4,0.1,1.55,32,False
17,17,4,13,-1.5106303579123376e-05,-2.4103078685478634e-05,-0.0001467559484397476,0.00011160287615134624,0.00013281592228814743,-0.00025388027782396853,0.511297852474323,0.3727357609710551,6000,6,8,4,0.1,1.55,48,False
9,9,3,6,-7.74356290837887e-06,-1.4417231008781856e-05,-0.00010947348429034009,0.0001230325277344877,0.00018510938858148232,-0.00024204665070625344,0.5126984126984127,0.4793650793650793,6000,6,8,4,0.1,1.75,16,False
13,13,3,10,-1.1414145650492102e-05,-2.2826035647087442e-05,-0.00011774487100942773,-6.447643223739897e-05,-6.0646922284530304e-05,-0.00017545984104903577,0.5045177045177045,0.3438339438339438,6000,6,8,4,0.1,1.75,24,False
17,17,4,13,-1.190940658088808e-05,-1.860591832546099e-05,-0.00014160682996882992,9.66540562771521e-05,0.00011101529988037683,-0.00025754700865842376,0.5070961718020541,0.376937441643324,6000,6,8,4,0.1,1.75,32,False
17,17,4,13,-1.5106303579123376e-05,-2.4103078685478634e-05,-0.0001467559484397476,0.00011160287615134624,0.00013281592228814743,-0.00025388027782396853,0.511297852474323,0.3727357609710551,6000,6,8,4,0.1,1.75,48,False
9,9,3,6,-7.74356290837887e-06,-1.4417231008781856e-05,-0.00010947348429034009,0.0001230325277344877,0.00018510938858148232,-0.00024204665070625344,0.5126984126984127,0.4793650793650793,6000,6,8,4,0.1,2.0,16,False
13,13,3,10,-1.1414145650492102e-05,-2.2826035647087442e-05,-0.00011774487100942773,-6.447643223739897e-05,-6.0646922284530304e-05,-0.00017545984104903577,0.5045177045177045,0.3438339438339438,6000,6,8,4,0.1,2.0,24,False
17,17,4,13,-1.190940658088808e-05,-1.860591832546099e-05,-0.00014160682996882992,9.66540562771521e-05,0.00011101529988037683,-0.00025754700865842376,0.5070961718020541,0.376937441643324,6000,6,8,4,0.1,2.0,32,False
17,17,4,13,-1.5106303579123376e-05,-2.4103078685478634e-05,-0.0001467559484397476,0.00011160287615134624,0.00013281592228814743,-0.00025388027782396853,0.511297852474323,0.3727357609710551,6000,6,8,4,0.1,2.0,48,False
9,9,3,6,-7.74356290837887e-06,-1.4417231008781856e-05,-0.00010947348429034009,0.0001230325277344877,0.00018510938858148232,-0.00024204665070625344,0.5126984126984127,0.4793650793650793,6000,6,8,4,0.2,1.55,16,False
13,13,3,10,-1.1414145650492102e-05,-2.2826035647087442e-05,-0.00011774487100942773,-6.447643223739897e-05,-6.0646922284530304e-05,-0.00017545984104903577,0.5045177045177045,0.3438339438339438,6000,6,8,4,0.2,1.55,24,False
17,17,4,13,-1.190940658088808e-05,-1.860591832546099e-05,-0.00014160682996882992,9.66540562771521e-05,0.00011101529988037683,-0.00025754700865842376,0.5070961718020541,0.376937441643324,6000,6,8,4,0.2,1.55,32,False
17,17,4,13,-1.5106303579123376e-05,-2.4103078685478634e-05,-0.0001467559484397476,0.00011160287615134624,0.00013281592228814743,-0.00025388027782396853,0.511297852474323,0.3727357609710551,6000,6,8,4,0.2,1.55,48,False
9,9,3,6,-7.74356290837887e-06,-1.4417231008781856e-05,-0.00010947348429034009,0.0001230325277344877,0.00018510938858148232,-0.00024204665070625344,0.5126984126984127,0.4793650793650793,6000,6,8,4,0.2,1.75,16,False
13,13,3,10,-1.1414145650492102e-05,-2.2826035647087442e-05,-0.00011774487100942773,-6.447643223739897e-05,-6.0646922284530304e-05,-0.00017545984104903577,0.5045177045177045,0.3438339438339438,6000,6,8,4,0.2,1.75,24,False
17,17,4,13,-1.190940658088808e-05,-1.860591832546099e-05,-0.00014160682996882992,9.66540562771521e-05,0.00011101529988037683,-0.00025754700865842376,0.5070961718020541,0.376937441643324,6000,6,8,4,0.2,1.75,32,False
17,17,4,13,-1.5106303579123376e-05,-2.4103078685478634e-05,-0.0001467559484397476,0.00011160287615134624,0.00013281592228814743,-0.00025388027782396853,0.511297852474323,0.3727357609710551,6000,6,8,4,0.2,1.75,48,False
9,9,3,6,-7.74356290837887e-06,-1.4417231008781856e-05,-0.00010947348429034009,0.0001230325277344877,0.00018510938858148232,-0.00024204665070625344,0.5126984126984127,0.4793650793650793,6000,6,8,4,0.2,2.0,16,False
13,13,3,10,-1.1414145650492102e-05,-2.2826035647087442e-05,-0.00011774487100942773,-6.447643223739897e-05,-6.0646922284530304e-05,-0.00017545984104903577,0.5045177045177045,0.3438339438339438,6000,6,8,4,0.2,2.0,24,False
17,17,4,13,-1.190940658088808e-05,-1.860591832546099e-05,-0.00014160682996882992,9.66540562771521e-05,0.00011101529988037683,-0.00025754700865842376,0.5070961718020541,0.376937441643324,6000,6,8,4,0.2,2.0,32,False
17,17,4,13,-1.5106303579123376e-05,-2.4103078685478634e-05,-0.0001467559484397476,0.00011160287615134624,0.00013281592228814743,-0.00025388027782396853,0.511297852474323,0.3727357609710551,6000,6,8,4,0.2,2.0,48,False
8,8,3,5,1.074550504101127e-05,1.4446055164182911e-05,-8.737117207223259e-05,0.00014794648835207428,0.0002226044473029926,-0.00027230248204453513,0.4517857142857143,0.5392857142857143,6000,6,8,4,0.3,1.55,16,False
13,13,3,10,-6.267343574901998e-06,-1.4715000620687443e-05,-0.00011361565973007389,-8.546929136049091e-05,-9.226477625430722e-05,-0.00019022094730538193,0.48315018315018315,0.3652014652014651,6000,6,8,4,0.3,1.55,24,False
17,17,4,13,-7.973616758377996e-06,-1.240336212880216e-05,-0.0001384491978140299,8.060069341831709e-05,8.683694096231213e-05,-0.0002688349134426885,0.49075630252100844,0.39327731092436974,6000,6,8,4,0.3,1.55,32,False
