accepted,accepted_images,mean_delta_boundary_f1,mean_delta_boundary_iou,mean_delta_dice,mean_delta_gap_region_fp_rate,mean_delta_iou,mean_delta_recall,precision_useful,risk,risk_rate,risk_threshold,useful,useful_threshold
1,1,0.001850975716052028,0.0011734223525954601,-0.00025641400097053957,-0.0009123187691093548,-0.0004264066403693034,-0.0006636434022785354,0.0,1,1.0,0.2,0,0.25
3,3,0.0006573249309715368,0.00041707029052437394,-0.00036608517562556714,-0.001089815202816267,-0.000612792103671341,-0.000902492087884695,0.0,3,1.0,0.25,0,0.25
5,5,2.138704413790493e-05,-6.465836571289685e-05,-0.00021867277460576595,-0.0009512154712546961,-0.00037082880416789977,-0.0007200385582434299,0.0,4,0.8,0.3,0,0.25
11,11,-0.0005088296848481035,-0.00047148102743939125,-0.00017476678323701358,-0.0007223499250428437,-0.000300160680891761,-0.0005696288093307275,0.09090909090909091,9,0.8181818181818182,0.35,1,0.25
23,23,-0.0005394685483853499,-0.00045269560977865024,-0.000162967603356217,-0.00044108379127075876,-0.00027450263022708805,-0.0004785172047854611,0.08695652173913043,20,0.8695652173913043,0.4,2,0.25
49,49,-0.000526813005916041,-0.00038788208161779145,-0.00018106561330525419,-0.0004844218696747516,-0.0002919438506109306,-0.0005060956354496658,0.16326530612244897,39,0.7959183673469388,0.45,8,0.25
70,70,-0.0006845650692082134,-0.0005284504071485953,-0.0001622369607419286,-0.00043126425752312224,-0.00027144284472643197,-0.00047966844557366503,0.21428571428571427,54,0.7714285714285715,0.5,15,0.25
80,80,-0.0005723700544903621,-0.000447824142294199,-0.00015744049149749167,-0.00047516726219280943,-0.00026607072676444396,-0.0004822498362864969,0.2125,60,0.75,0.55,17,0.25
87,87,-0.000563092763879648,-0.0004366463483667481,-0.00014493275491003286,-0.000504890862111995,-0.00024580681426792934,-0.0004802407168559159,0.21839080459770116,65,0.7471264367816092,0.6,19,0.25
88,88,-0.0005234051567336268,-0.0004042671415576133,-0.0001398131949697184,-0.0004991534659516315,-0.00023702084390396567,-0.00046846696402980494,0.2159090909090909,66,0.75,0.65,19,0.25
89,89,-0.0005432478369449551,-0.0004161927596100852,-0.0001410025648396519,-0.0005003452495140721,-0.00023913961836987522,-0.00046952973022876233,0.21348314606741572,67,0.7528089887640449,0.7,19,0.25
90,90,-0.000572227601742992,-0.0004355194699872913,-0.0001555940565378839,-0.0004953895585380049,-0.00026439817856298254,-0.0004949347193529302,0.2111111111111111,68,0.7555555555555555,0.75,19,0.25
90,90,-0.000572227601742992,-0.0004355194699872913,-0.0001555940565378839,-0.0004953895585380049,-0.00026439817856298254,-0.0004949347193529302,0.2111111111111111,68,0.7555555555555555,0.8,19,0.25
0,0,,,,,,,0.0,0,0.0,0.1,0,0.3
0,0,,,,,,,0.0,0,0.0,0.15,0,0.3
1,1,0.001850975716052028,0.0011734223525954601,-0.00025641400097053957,-0.0009123187691093548,-0.0004264066403693034,-0.0006636434022785354,0.0,1,1.0,0.2,0,0.3
