accepted,accepted_images,mean_delta_boundary_f1,mean_delta_boundary_iou,mean_delta_dice,mean_delta_gap_region_fp_rate,mean_delta_iou,mean_delta_recall,precision_useful,risk,risk_rate,risk_threshold,useful,useful_threshold
51,51,-0.0003097172136480575,-0.0002496603401702695,-0.00014400882553248164,-0.000576428649057285,-0.0002349471169312104,-0.0004686931034313195,0.27450980392156865,35,0.6862745098039216,0.45,14,0.25
70,70,-0.0005386130960326747,-0.0004359318587998367,-0.0001494434568713026,-0.0005006679636485296,-0.00025298605647924854,-0.00047245799847651964,0.22857142857142856,51,0.7285714285714285,0.5,16,0.25
80,80,-0.0004969236330851703,-0.00040143368837547243,-0.0001532998587690071,-0.0005099338861260386,-0.0002594452758408118,-0.0004894849835572812,0.2125,59,0.7375,0.55,17,0.25
87,87,-0.00041282581515508885,-0.0003318485195307703,-0.00013582511434115342,-0.0005695135107342203,-0.0002290413547509273,-0.00047288068786378374,0.2413793103448276,62,0.7126436781609196,0.6,21,0.25
89,89,-0.0004943148415092053,-0.000396223745586132,-0.00014659216200611983,-0.0005231360623817675,-0.00024759101304862107,-0.00047536183452885926,0.2247191011235955,65,0.7303370786516854,0.65,20,0.25
90,90,-0.0005238383062565284,-0.0004157723338969376,-0.00016112154706916885,-0.0005179271401516149,-0.00027275566885640897,-0.0005007020224941372,0.2222222222222222,66,0.7333333333333333,0.7,20,0.25
91,91,-0.0005432401237212022,-0.00042730941976870326,-0.00016205061922658237,-0.0005188864265566394,-0.0002744351864664475,-0.0005013871997825204,0.21978021978021978,67,0.7362637362637363,0.75,20,0.25
91,91,-0.0005432401237212022,-0.00042730941976870326,-0.00016205061922658237,-0.0005188864265566394,-0.0002744351864664475,-0.0005013871997825204,0.21978021978021978,67,0.7362637362637363,0.8,20,0.25
0,0,,,,,,,0.0,0,0.0,0.1,0,0.3
1,1,-0.000995668184094134,-0.0006728526340514518,-0.0002636588791877781,-0.0004067445644135581,-0.0004092412272708179,-0.0005704913356628927,0.0,1,1.0,0.15,0,0.3
2,2,-0.00037194916195897043,-0.0002590306438153764,5.570065446530714e-05,-0.000838334054916387,9.897692025578886e-05,-0.00032869055798828706,0.5,1,0.5,0.2,1,0.3
3,3,0.00036902579737802904,0.0002184536883215691,-4.833756401330843e-05,-0.0008629956263140429,-7.615093328590856e-05,-0.00044034150608503647,0.6666666666666666,1,0.3333333333333333,0.25,2,0.3
6,6,0.000581240142119438,0.00034531796372987145,3.101691343696903e-05,-0.0012333642286925471,5.7293200004471245e-05,-0.000339059372113278,0.3333333333333333,3,0.5,0.3,2,0.3
