action_frac,background_connected_by_cut,cut_adjacent_bg_components_before,cut_area,cut_bg_channel_area_after,cut_bg_channel_border_contacts_after,cut_bg_channel_frac_after,cut_frac_anchor,cut_gt_fg_frac,cut_gt_fg_pixels,cut_gt_gap_frac,delta_boundary_f1,delta_boundary_iou,delta_component_count_mae,delta_component_delta_mean,delta_dice,delta_gap_region_fp_rate,delta_gt_instance_count,delta_gt_instances_covered,delta_gt_instances_multi_covered,delta_iou,delta_merged_pred_components,delta_precision,delta_pred_component_count_instance_match,delta_recall,gt_a,gt_b,image,local_bg_component_delta,local_bg_components_after,local_bg_components_before,merge_targeted_promotable,num_component_gt_instances,overerosion_proxy,pred_component_id,replayed_cut_pixels,run_id,safe_nonmerge_gain,seam_radius,split
0.35,1.0,1.0,57.0,774.0,2.0,0.07216783216783217,0.0003511344105562092,0.0,0.0,1.0,0.002429835437143424,0.001569366280545742,0.0,0.0,0.00016120628794791259,-0.0015404572725798427,0.0,0.0,0.0,0.00027419078879586944,0.0,0.00032071736032524,0.0,0.0,22.0,24.0,1901.png,1.0,3.0,2.0,0.0,6.0,0.0,19.0,57.0,R237-component-merge-targeted-candidate-diagnostic,1.0,4.0,val
0.35,1.0,1.0,58.0,564.0,2.0,0.15932203389830507,0.0003158164126522589,0.0,0.0,1.0,0.0035855451188255005,0.0023010860553254187,0.0,0.0,0.00014493918023983365,-0.001596432798436631,0.0,0.0,0.0,0.00024727918488554046,0.0,0.0002896005867285556,0.0,0.0,22.0,20.0,1931.png,0.0,1.0,1.0,0.0,8.0,0.0,20.0,58.0,R237-component-merge-targeted-candidate-diagnostic,1.0,4.0,val
0.35,1.0,2.0,6.0,725.0,3.0,0.1686046511627907,4.0070256516425466e-05,0.0,0.0,1.0,0.0005123817527266095,0.00035122436112342004,0.0,0.0,1.881755468013946e-05,-0.00016299918500406463,0.0,0.0,0.0,3.255465994045359e-05,0.0,3.6489033037656604e-05,0.0,0.0,22.0,20.0,1934.png,0.0,2.0,2.0,0.0,6.0,0.0,19.0,6.0,R237-component-merge-targeted-candidate-diagnostic,1.0,2.0,val
0.15,1.0,1.0,2.0,597.0,3.0,0.2436734693877551,5.7991185339828345e-05,0.0,0.0,1.0,-0.00012466226663937485,-0.00010197061280653452,0.0,0.0,2.726675244602017e-05,-0.00010835410120271782,0.0,0.0,0.0,4.590440339380386e-05,0.0,5.10765024506199e-05,0.0,0.0,22.0,23.0,2024.png,0.0,2.0,2.0,0.0,3.0,0.0,19.0,2.0,R237-component-merge-targeted-candidate-diagnostic,1.0,4.0,val
0.35,1.0,2.0,19.0,796.0,2.0,0.19043062200956937,0.00033875338753387534,0.0,0.0,1.0,0.0014390155162751217,0.0010700273891479928,0.0,0.0,0.00015590094090600637,-0.0008669465230881634,0.0,0.0,0.0,0.000264423170800554,0.0,0.0003076264287407149,0.0,0.0,22.0,20.0,2044.png,0.0,2.0,2.0,0.0,7.0,0.0,18.0,19.0,R237-component-merge-targeted-candidate-diagnostic,1.0,3.0,val
0.35,1.0,1.0,19.0,439.0,2.0,0.159288824383164,0.00040948275862068967,0.0,0.0,1.0,0.001586748096004953,0.0012181216071238954,0.0,0.0,0.00019519357742803223,-0.0009774668175738244,0.0,0.0,0.0,0.00032495554295752793,0.0,0.00035109873320593454,0.0,0.0,22.0,20.0,2248.png,0.0,2.0,2.0,0.0,8.0,0.0,20.0,19.0,R237-component-merge-targeted-candidate-diagnostic,1.0,4.0,val
0.35,1.0,1.0,56.0,461.0,2.0,0.08787647731605032,0.00044227868295726485,0.0,0.0,1.0,0.0009842616009027028,0.0006527575964599963,0.0,0.0,0.00019411952307568647,-0.0015708715531992518,0.0,0.0,0.0,0.00033269542748026737,0.0,0.0004264027649676372,0.0,0.0,22.0,20.0,3249.png,1.0,3.0,2.0,0.0,3.0,0.0,20.0,56.0,R237-component-merge-targeted-candidate-diagnostic,1.0,4.0,val
0.35,1.0,2.0,21.0,927.0,4.0,0.24343487394957983,0.000646531818601644,0.0,0.0,1.0,0.002421603125431604,0.0021031846745329097,-1.0,1.0,0.00029160955896923024,-0.0011649192877350723,0.0,0.0,0.0,0.0004992012731177553,0.0,0.0006058596690765583,1.0,0.0,26.0,23.0,3269.png,0.0,3.0,3.0,0.0,2.0,0.0,24.0,21.0,R237-component-merge-targeted-candidate-diagnostic,1.0,4.0,val
0.35,1.0,1.0,19.0,545.0,2.0,0.12871988663202646,0.00048255193782699245,0.0,0.0,1.0,0.0017164582508376602,0.0015021611112837618,0.0,0.0,0.00022297882856969764,-0.0009354076408034512,0.0,0.0,0.0,0.00038835136442783025,0.0,0.00045026736782838306,0.0,0.0,23.0,22.0,3354.png,2.0,5.0,3.0,0.0,3.0,0.0,19.0,19.0,R237-component-merge-targeted-candidate-diagnostic,1.0,3.0,val
0.35,1.0,1.0,84.0,712.0,2.0,0.0926359614884205,0.0015557860423766484,0.0,0.0,1.0,0.0034813940002019206,0.002831669844117979,0.0,0.0,0.0007264006116513011,-0.003654239352677613,0.0,0.0,0.0,0.0012444750807114602,0.0,0.0014109375941558921,0.0,0.0,23.0,25.0,3392.png,1.0,3.0,2.0,0.0,8.0,0.0,19.0,84.0,R237-component-merge-targeted-candidate-diagnostic,1.0,4.0,val
0.35,0.0,1.0,23.0,321.0,1.0,0.10615079365079365,0.00019903597358879167,0.0,0.0,1.0,0.00250525399347179,0.001828509181450333,0.0,0.0,9.391927443636039e-05,-0.0007182561988632874,0.0,0.0,0.0,0.00016526631172719686,0.0,0.0001839757101069761,0.0,0.0,23.0,22.0,3460.png,0.0,1.0,1.0,0.0,6.0,0.0,18.0,23.0,R237-component-merge-targeted-candidate-diagnostic,1.0,2.0,val
0.35,1.0,2.0,60.0,1689.0,4.0,0.28520770010131713,0.0017968375658840442,0.0,0.0,1.0,0.005474011787130695,0.00485429345501015,0.0,0.0,0.0008188438527093611,-0.0031982942430703737,0.0,0.0,0.0,0.0014060384308616225,0.0,0.0016744141255827794,0.0,0.0,23.0,25.0,3468.png,0.0,2.0,2.0,0.0,4.0,0.0,19.0,60.0,R237-component-merge-targeted-candidate-diagnostic,1.0,4.0,val
0.35,0.0,1.0,39.0,323.0,1.0,0.1012539184952978,0.00024199703398507065,0.0,0.0,1.0,0.0012028437491753974,0.0008216414026938346,0.0,0.0,0.00011266633459394715,-0.0009566091883538852,0.0,0.0,0.0,0.0001931833684981621,0.0,0.0002200232467010066,0.0,0.0,23.0,22.0,3493.png,0.0,1.0,1.0,0.0,10.0,0.0,19.0,39.0,R237-component-merge-targeted-candidate-diagnostic,1.0,4.0,val
0.15,0.0,0.0,2.0,2.0,0.0,0.0008163265306122449,6.277857994852157e-05,0.0,0.0,1.0,0.0007541056429699045,0.0006645499520047116,0.0,0.0,2.779266013741566e-05,-0.00010405827263267053,0.0,0.0,0.0,4.781955826038686e-05,0.0,6.025805622444924e-05,0.0,0.0,23.0,24.0,3567.png,1.0,3.0,2.0,0.0,2.0,0.0,20.0,2.0,R237-component-merge-targeted-candidate-diagnostic,1.0,2.0,val
0.35,1.0,3.0,63.0,1526.0,4.0,0.2143559488692232,0.0012492811675821453,0.0,0.0,1.0,0.004122417236602227,0.003480268417309418,0.0,0.0,0.0005808636222793817,-0.002825618945102276,0.0,0.0,0.0,0.00101311604182297,0.0,0.0011613011750988278,0.0,0.0,22.0,24.0,3602.png,0.0,3.0,3.0,0.0,3.0,0.0,19.0,63.0,R237-component-merge-targeted-candidate-diagnostic,1.0,4.0,val
0.25,1.0,2.0,9.0,489.0,4.0,0.15167493796526055,0.00028856327551380294,0.0,0.0,1.0,0.0009996775039903816,0.0008644295884991937,0.0,0.0,0.00012764614284987985,-0.0005042299288475632,0.0,0.0,0.0,0.00021597320144051135,0.0,0.00027183067762637236,0.0,0.0,23.0,25.0,3678.png,0.0,2.0,2.0,0.0,2.0,0.0,19.0,9.0,R237-component-merge-targeted-candidate-diagnostic,1.0,3.0,val
0.15,0.0,0.0,2.0,2.0,0.0,0.0008163265306122449,6.322511301488951e-05,0.0,0.0,1.0,0.00034338599936667435,0.00030872099886442017,0.0,0.0,2.847353965262922e-05,-0.00011072357858606108,0.0,0.0,0.0,4.9513156067604314e-05,0.0,6.03967631392921e-05,0.0,0.0,20.0,21.0,3725.png,1.0,2.0,1.0,0.0,2.0,0.0,20.0,2.0,R237-component-merge-targeted-candidate-diagnostic,1.0,2.0,val
0.35,1.0,2.0,41.0,1956.0,4.0,0.306295020357031,0.0006077585567957783,0.0,0.0,1.0,0.0034577734883779465,0.0025039120888298017,0.0,0.0,0.00027842834564906216,-0.0017146202743392458,0.0,0.0,0.0,0.00046969739279179024,0.0,0.0005510302180548043,0.0,0.0,21.0,20.0,3777.png,0.0,2.0,2.0,0.0,3.0,0.0,19.0,41.0,R237-component-merge-targeted-candidate-diagnostic,1.0,4.0,val
0.35,0.0,0.0,59.0,59.0,0.0,0.008928571428571428,0.001039519354440862,0.0,0.0,1.0,0.005936834623272547,0.004437704316942043,0.0,0.0,0.0004737719880296698,-0.0025125628140703626,0.0,0.0,0.0,0.0007977397478404757,0.0,0.0009456659632209874,0.0,0.0,23.0,25.0,3840.png,2.0,4.0,2.0,0.0,9.0,0.0,18.0,59.0,R237-component-merge-targeted-candidate-diagnostic,1.0,3.0,val
0.35,0.0,1.0,16.0,419.0,1.0,0.15495562130177515,0.00024807740014884643,0.0,0.0,1.0,0.0010701885961647006,0.0007044879038743956,0.0,0.0,0.00010402060119929502,-0.0005868114134819913,0.0,0.0,0.0,0.00017167682322150046,0.0,0.000239232332795547,0.0,0.0,21.0,23.0,4047.png,0.0,1.0,1.0,0.0,2.0,0.0,20.0,16.0,R237-component-merge-targeted-candidate-diagnostic,1.0,4.0,val
0.35,1.0,1.0,17.0,1178.0,3.0,0.41951566951566954,0.000257419745608722,0.0,0.0,1.0,0.0014165557025551112,0.0009586237752998716,0.0,0.0,0.00010801532735660313,-0.0006286052359118499,0.0,0.0,0.0,0.00016771216680988577,0.0,0.00022959690652746279,0.0,0.0,21.0,20.0,4193.png,0.0,1.0,1.0,0.0,2.0,0.0,17.0,17.0,R237-component-merge-targeted-candidate-diagnostic,1.0,4.0,val
0.25,1.0,1.0,8.0,419.0,2.0,0.13869579609400862,7.470910143628248e-05,0.0,0.0,1.0,0.0013869155972199565,0.000838326105662271,0.0,0.0,3.380407166608812e-05,-0.0002840303912518549,0.0,0.0,0.0,5.3927338001913405e-05,0.0,6.398214881020436e-05,0.0,0.0,20.0,22.0,5355.png,1.0,2.0,1.0,0.0,6.0,0.0,19.0,8.0,R237-component-merge-targeted-candidate-diagnostic,1.0,2.0,val
0.35,1.0,2.0,29.0,1652.0,4.0,0.2153846153846154,0.0003415380991638205,0.0,0.0,1.0,0.0014069822035281399,0.0011394683247141768,0.0,0.0,0.00016095624966483424,-0.0010688485920684054,0.0,0.0,0.0,0.0002885360598906539,0.0,0.00032284788026182287,0.0,0.0,22.0,24.0,6605.png,0.0,2.0,2.0,0.0,6.0,0.0,20.0,29.0,R237-component-merge-targeted-candidate-diagnostic,1.0,4.0,val
