accepted,accepted_images,mean_delta_boundary_f1,mean_delta_boundary_iou,mean_delta_dice,mean_delta_gap_region_fp_rate,mean_delta_iou,mean_delta_recall,precision_useful,risk,risk_rate,risk_threshold,useful,useful_threshold
15,15,-0.00025985117563853504,-0.0001907224687635258,-0.00016938480735234258,-0.0003512998465222276,-0.0002847751521643923,-0.00044261255413662325,0.26666666666666666,11,0.7333333333333333,0.55,4,0.3
17,17,-0.00020156210491989948,-0.00014801907345006961,-0.00020401477508603857,-0.00038365962332743487,-0.00034516026886314866,-0.00052897836104122,0.29411764705882354,12,0.7058823529411765,0.6,5,0.3
20,20,-0.000259634964245499,-0.0001893833686177966,-0.0002077917863759715,-0.0003288514571127575,-0.0003505048786905829,-0.0005134948758481917,0.25,15,0.75,0.65,5,0.3
22,22,-0.00019324148239181391,-0.00015626627298323726,-0.00020112512601172023,-0.00037662144809728524,-0.0003339243683915275,-0.00050734491069666,0.2727272727272727,16,0.7272727272727273,0.7,6,0.3
23,23,-0.00019429217383818228,-0.00015570016984931413,-0.0001756829501813425,-0.0003614144067904221,-0.0002997286970140808,-0.0005145377331260366,0.2608695652173913,17,0.7391304347826086,0.75,6,0.3
24,24,-8.616515008491125e-05,-7.208977811278283e-05,-0.000158965292721557,-0.00039274867972413294,-0.00027138031572169347,-0.0004958099812169872,0.2916666666666667,17,0.7083333333333334,0.8,7,0.3
0,0,,,,,,,0.0,0,0.0,0.1,0,0.35
1,1,-0.0006601411268010171,-0.0005427152268556723,-0.0003932029824582628,-0.00015080681646811867,-0.0006991308183337264,-0.0008047450150516777,0.0,1,1.0,0.15,0,0.35
2,2,-0.00037620364564222575,-0.0003055722952493706,-0.00026634592104524124,-0.00038094068378167686,-0.000465218665694378,-0.0006444585979507589,0.0,2,1.0,0.2,0,0.35
4,4,0.00021986912432903072,0.00017344546078074813,-0.0001634888502835552,-0.000570492057417436,-0.0002885643467690213,-0.0005072391055322423,0.25,3,0.75,0.25,1,0.35
